algo,per_error,abs_error,accuracy,skim_precision,skim_recall,detail_precision,detail_recall,read_precision,read_recall
Algo1,0.434371198839389,2.13277075619019,0.8294485346892687,0.4662888430225894,0.3202006719651408,0.3855654761904762,0.27222222222222237,0.685523376342089,0.4965132780315108
Algo2,0.4472804528736206,2.45299992510296,0.8116192634230616,0.3626712793379461,0.23559115967867733,0.4160493827160494,0.3138888888888889,0.6699456660756968,0.47785822172217696
Algo3,0.4575806243804703,2.268514459203846,0.8344009211820578,0.4901053013798109,0.43278113333568086,0.33395061728395076,0.40000000000000013,0.6570888505562844,0.5918369289792852
AlgoTrainer,0.27713057513478134,1.7183540245537676,0.865926992792329,0.6272662879965482,0.5472978156331656,0.6910954785954786,0.6385416666666663,0.7891067898805033,0.6957022762054321
AlgoTrainerNoPat,0.29555728088483935,1.7634752231546411,0.8623826715509804,0.5922801695709551,0.5149142745646581,0.6657773168189837,0.650694444444444,0.7720063013382049,0.6845292657481475
LogTrainer,0.3750188889963686,2.4792122568633372,0.8241976554505386,0.4491026990189295,0.4239504345687549,0.6448903719737051,0.5118055555555555,0.6407622345467633,0.5778071643630899
SecondTrainer,0.26982044464917704,1.705051797309515,0.8713674644553113,0.6403940200050557,0.5491510278463293,0.7144332519332518,0.6163194444444442,0.794956240138592,0.68108303421943
SecondTrainerNoPat,0.27158293440367515,1.6711457144558526,0.873677716945032,0.649804937837893,0.5356826639822203,0.7141639224972557,0.627083333333333,0.8106390426801617,0.6801149503222611
SessionCatTrainer,0.0,0.0,0.47098016906054163,0.2161367093499983,0.6920295230413198,0.3383838383838384,0.027430555555555555,0.31543931535590947,0.7156063640692848
SessionTrainer,0.6055280302611717,3.063196598306809,0.7797444047508315,0.3616189941448303,0.25982048832169824,0.2974906629318394,0.10451388888888889,0.5705862410933071,0.34469761721383374
